id,title,titleeng,titlerus,whours1,whours2,is_mandatory,urlru,urlgeo,urleng
118,თბილისის აეროპორტი,Tbilisi Airport,Аэропорт Тбилиси,"41.670001, 44.964757",90,1,Ajeroport_Tbilisi,tbilisis_aeroporti,Tbilisi_Airport
120,თეთრი წყარო,Tetritskaro,Тетрицкаро,"41.552134, 44.486051",60,1,Tetrickaro,tetri_tsqaro,Tetritskaro
121,თიანეთი,Tianeti,Тианети,"42.110044, 44.967840",60,1,Tianeti,tianeti,Tianeti
122,ტიბაანი,Tibaani,Тибаани,"41.577773, 46.002941",60,1,Tibaani,tibaani,Tibaani
123,ტყიბული,Tkibuli,Ткибули,"42.349260, 42.997594",60,1,Tkibuli,tqibuli,Tkibuli
124,წალკა,Tsalka,Цалка,"41.599702, 44.089730",60,1,Calka,tsalka,Tsalka
125,წინანდალი,Tsinandali,Цинандали,"41.896798, 45.574079",90,1,Cinandali,tsinandali,Tsinandali
126,წყალტუბო,Tskaltubo,Цкалтубо,"42.328196, 42.601451",60,1,Ckaltubo,tsqaltubo,Tskaltubo
127,უფლისციხე,Uplistsikhe,Уплисцихе,"41.968127, 44.207183",120,1,Upliscihe,uplistsikhe,Uplistsikhe
128,ურეკი,Ureki,Уреки,"41.995456, 41.779569",60,1,Ureki,ureki,Ureki
130,ვეჯინი,Vejini,Веджини,"41.716347,45.825515",60,1,Vedzhini,vejini,Vejini
131,ველისციხე,Velistsikhe,Велисцихе,"41.808651, 45.751447",60,1,Veliscihe,velistsikhe,Velistsikhe
132,მირვეთის ჩანჩქერი,Mirveti Waterfall,Мирвети Водопад ,"41.529433, 41.712657",120,1,Mirveti_Vodopad,mirvetis_chanchkeri,Mirveti_Waterfall
133,ზანავი,Zanavi,Занави,"41.699951, 42.714404",40,1,Zanavi,zanavi,Zanavi
134,ზედაზნის მონასტერი,Zedazeni Monastery,Зедазенский Монастырь,"41.871154, 44.767112",60,1,Zedazenskij_Monastyr,zedaznis_monasteri,Zedazeni_Monastery
135,ზეგანი,Zegani,Зегани,"43.019777, 42.819246",30,1,Zegani,zegani,Zegani
136,ზესტაფონი,Zestafoni,Зестафони ,"42.107574, 43.047849",60,1,Zestafoni,zestaponi,Zestafoni
137,ზუგდიდი,Zugdidi,Зугдиди ,"42.511833, 41.872557",60,1,Zugdidi,zugdidi,Zugdidi
138,ჟინვალის წყალსაცავი,Zhinvali Reservoir,Жинвальское водохранилище,"42.148858, 44.761581",30,1,Zhinvalskoe_vodohranilishhe,zhinvalis_tsqalsatsavi,Zhinvali_Reservoir
140,ოკაცეს კანიონი,Okatse Canyon,Каньон Окаце,"42.455410, 42.527474",100,1,Kanon_Okace,okatses_kanioni,Okatse_Canyon
141,კინჩხას ჩანჩქერი ,Kinchkha Waterfall,Кинчха Водопад ,"42.492751, 42.552557",60,1,Kinchha_Vodopad,kinchkhas_chanchkeri,Kinchkha_Waterfall
142,აბაშა,Abasha,Абаша,"42.207036, 42.198660",30,1,Abasha,abasha,Abasha
143,გერგეტის სამების ეკლესია,Gergeti Trinity Church,Троицкая церковь Гергети,"42.662583, 44.620267",60,1,Troickaja_cerkov_Gergeti,gergetis_samebis_eklesia,Gergeti_Trinity_Church
146,ხაშური,Khashuri,Хашури,"41.986018, 43.595217",60,1,Hashuri,khashuri,Khashuri
147,კასპი,Kaspi,Каспи,"41.919743, 44.421867",60,1,Kaspi,kaspi,Kaspi
148,ხონი,Khoni,Хони,"42.326447, 42.422656",30,1,Honi,khoni,Khoni
149,ბოლნისი,Bolnisi,Болниси,"41.449767, 44.548515",60,1,Bolnisi,bolnisi,Bolnisi
150,ახალქალაქი,Akhalkalaki,Ахалкалаки,"41.403333, 43.488823",60,1,Ahalkalaki,akhalkalaki,Akhalkalaki
151,გურჯაანი,Gurjaani,Гурджаани,"41.743906, 45.795757",60,1,Gurdzhaani,gurjaani,Gurjaani
152,ქარელი,Kareli,Карели,"42.019055, 43.887629",60,1,Kareli,kareli,Kareli
153,დუშეთი,Dusheti,Душети,"42.086582, 44.692162",60,1,Dusheti,dusheti,Dusheti
154,საჩხერე,Sachkhere,Сачхере,"42.336093, 43.404547",60,1,Sachhere,sachkhere,Sachkhere
155,დედოფლისწყარო,Dedoflistskaro,Дедоплис Цкаро,"41.461851, 46.116793",60,1,Dedoplis_Ckaro,dedoplistsqaro,Dedoflistskaro
156,ნინოწმინდა,Ninotsminda,Ниноцминда,"41.736238, 45.297425",60,1,Ninocminda,ninotsminda,Ninotsminda
157,წნორი,Tsnori,Цнори,"41.618825, 45.977999",60,1,Cnori,tsnori,Tsnori
158,თერჯოლა,Terjola,Тержола,"42.166900, 42.963364",60,1,Terzhola,terjola,Terjola
159,მარტვილი,Martvili,Мартвили,"42.421028, 42.380083",60,1,Martvili,martvili,Martvili
160,ხობი,Khobi,Хоби,"42.325109, 41.887220",60,1,Hobi,khobi,Khobi
161,წალენჯიხა,Tsalenjikha,Цаленджиха,"42.610386, 42.035989",60,1,Calendzhiha,tsalenjikha,Tsalenjikha
162,ვანი,Vani,Вани,"42.090052, 42.506767",60,1,Vani,vani,Vani
163,ბაღდათი,Baghdati,Багдати,"42.070539, 42.824106",60,1,Bagdati,baghdati,Baghdati
164,ვალე,Vale,Вале,"41.617606, 42.872708",60,1,Vale,vale,Vale
166,ცაგერი,Tsageri,Цагери,"42.647524, 42.768188",60,1,Cageri,tsageri,Tsageri
167,ბეშუმი,Beshumi,Бешуми,"41.612338, 42.553049",60,1,Beshumi,beshumi,Beshumi
168,ბობოყვათი,Bobokvati,Бобоквати,"41.769430, 41.782278",60,1,Bobokvati,boboqvati,Bobokvati
169,გონიო,Gonio,Гонио,"41.567842, 41.571182",60,1,Gonio,gonio,Gonio
170,ციხისძირი ,Tsikhisdziri,Цихисдзири,"41.768478, 41.766726",60,1,Cihisdziri,tsikhisdziri,Tsikhisdziri
